,carpet_area,bedrooms,bathrooms,car_parking,furnishing,transaction_type,floor,total_floors,price,lat,long,facing_code
2,625.0,2.0,2,1,1,1.0,9.0,15.0,0.458,19.469783782958984,72.79705810546875,3
3,451.0,1.0,2,1,1,1.0,2.0,12.0,0.267,19.469541549682614,72.80033874511719,0
4,464.0,1.0,1,1,2,1.0,2.0,12.0,0.28,19.469541549682614,72.80033874511719,5
5,618.0,2.0,2,0,1,1.0,8.0,12.0,0.337,19.47022247314453,72.80033111572266,0
6,2800.0,6.0,6,3,3,1.0,8.0,14.0,15.0,19.076268,72.90213,2
7,660.0,2.0,2,0,1,1.0,3.0,11.0,1.98,19.12986957,72.83319559,0
8,844.0,2.0,2,2,1,1.0,5.0,20.0,1.69,19.10919095,72.88469140000001,0
9,692.0,2.0,2,2,1,1.0,4.0,17.0,1.5,19.1228392525584,72.88452963231741,0
12,305.0,1.0,1,1,1,0.0,7.0,24.0,0.54,19.202482999999997,72.822777,7
13,610.0,2.0,2,1,2,0.0,13.0,14.0,2.15,19.0227398,72.86865379999999,1
14,956.0,2.0,2,1,2,0.0,20.0,40.0,2.2,19.03731,72.87871,0
20,625.0,2.0,2,1,1,1.0,9.0,15.0,0.458,19.469783782958984,72.79705810546875,3
21,451.0,1.0,2,1,1,1.0,2.0,12.0,0.267,19.469541549682614,72.80033874511719,0
22,464.0,1.0,1,1,2,1.0,2.0,12.0,0.28,19.469541549682614,72.80033874511719,5
23,618.0,2.0,2,0,1,1.0,8.0,12.0,0.337,19.47022247314453,72.80033111572266,0
24,2800.0,6.0,6,3,3,1.0,8.0,14.0,15.0,19.076268,72.90213,2
25,660.0,2.0,2,0,1,1.0,3.0,11.0,1.98,19.12986957,72.83319559,0
26,844.0,2.0,2,2,1,1.0,5.0,20.0,1.69,19.10919095,72.88469140000001,0
27,692.0,2.0,2,2,1,1.0,4.0,17.0,1.5,19.1228392525584,72.88452963231741,0
30,305.0,1.0,1,1,1,0.0,7.0,24.0,0.54,19.202482999999997,72.822777,7
31,610.0,2.0,2,1,2,0.0,13.0,14.0,2.15,19.0227398,72.86865379999999,1
32,956.0,2.0,2,1,2,0.0,20.0,40.0,2.2,19.03731,72.87871,0
36,485.0,1.0,1,0,1,1.0,5.0,16.0,1.0,19.089914220399802,72.916868452269,0
37,284.0,1.0,2,0,1,1.0,5.0,6.0,0.76,19.19576072692871,72.83778381347656,1
38,943.0,3.0,3,0,1,1.0,1.0,10.0,2.59,19.250059127807614,72.84921264648438,2
40,840.0,3.0,2,1,3,0.0,1.0,7.0,1.62,19.208603399999998,72.85851579999999,0
41,716.0,2.0,2,1,1,1.0,9.0,22.0,1.85,19.114625,72.88469599999999,1
42,1530.0,4.0,4,2,1,1.0,11.0,18.0,4.95,19.042963,72.905049,1
43,700.0,2.0,2,1,2,0.0,5.0,10.0,1.8,19.212785,72.872686,0
44,750.0,2.0,2,3,2,1.0,1.0,15.0,0.79,19.283522,72.878571,0
45,965.0,3.0,3,2,1,1.0,5.0,22.0,2.8,19.129887,72.836147,0
46,712.0,2.0,2,2,1,1.0,5.0,22.0,2.1,19.129887,72.836147,0
47,682.0,2.0,2,1,1,1.0,11.0,21.0,2.1,19.225278,72.843817,0
48,989.0,3.0,3,2,1,1.0,5.0,33.0,2.3,19.149089,72.836862,0
49,1418.0,4.0,4,2,1,0.0,14.0,29.0,5.75,19.141714180625502,72.828495599599,0
50,1113.0,3.0,3,2,1,1.0,5.0,23.0,3.1,19.114625,72.88469599999999,0
51,606.0,2.0,2,1,1,1.0,11.0,23.0,1.45,19.207601,72.879171,0
53,685.0,2.0,2,1,1,0.0,7.0,17.0,1.85,19.2187683,72.8615252,1
54,1185.0,3.0,2,1,1,0.0,4.0,15.0,3.75,19.1144281,72.8485233,0
55,820.0,2.0,2,2,1,1.0,4.0,9.0,1.7,19.12258624,72.86705,0
56,450.0,1.0,1,0,1,0.0,8.0,8.0,1.05,19.103561401367188,72.88658905029297,0
57,894.0,2.0,2,2,1,1.0,5.0,30.0,3.3,19.129387,72.827935,0
58,1606.0,4.0,4,2,1,1.0,5.0,27.0,5.8,19.141714180625502,72.828495599599,0
60,1200.0,3.0,3,2,2,0.0,26.0,36.0,3.7,19.0227398,72.86865379999999,7
61,658.0,2.0,2,1,1,0.0,17.0,20.0,2.0,19.115297,72.839762,2
