carpet_area,bedrooms,bathrooms,car_parking,furnishing,transaction_type,floor,total_floors,facing,overlooking,price,lat,long
680,2,2,0,1,0,2,4,,,1.8,19.128219604492188,72.86425018310547
705,2,2,0,2,1,13,13,,,2.14,72.89635467529297,19.032798767089844
625,2,2,1,1,1,9,15,North - West,Main Road,0.45799999999999996,19.469783782958984,72.79705810546875
451,1,2,1,1,1,2,12,East,Garden/Park,0.267,19.469541549682617,72.80033874511719
464,1,1,1,2,1,2,12,South - East,Garden/Park,0.28,19.469541549682617,72.80033874511719
618,2,2,0,1,1,8,12,East,Main Road,0.337,19.47022247314453,72.80033111572266
2800,6,6,3,3,1,8,14,North - East,"Main Road, Garden/Park, Pool",15.0,19.076268,72.90213
660,2,2,0,1,1,3,11,East,"Garden/Park, Main Road",1.98,19.12986957,72.83319559
844,2,2,2,1,1,5,20,East,"Garden/Park, Main Road",1.69,19.10919095,72.8846914
692,2,2,2,1,1,4,17,East,"Garden/Park, Main Road",1.5,19.1228392525584,72.8845296323174
480,1,1,1,1,1,10,21,,,1.11,19.203436,72.8210452
2120.0,3,3,1,2,0,11,40,,"Garden/Park, Main Road",7.0,19.0096214,72.821264
305,1,1,1,1,0,7,24,West,Main Road,0.54,19.202483,72.822777
610,2,2,1,2,0,13,14,North,"Garden/Park, Pool, Main Road",2.15,19.0227398,72.8686538
956,2,2,1,2,0,20,40,East,"Garden/Park, Pool, Main Road",2.2,19.03731,72.87871
1400.0,3,5,1,2,0,14,17,,"Garden/Park, Main Road",7.0,18.999122,72.8170966
1749.6,3,3,1,2,0,27,28,,"Garden/Park, Main Road",6.0,19.0119722,72.832046
1080.0,2,2,1,2,0,14,75,,"Garden/Park, Main Road",4.25,19.00639,72.828689
680,2,2,0,1,0,2,4,,,1.8,19.128219604492188,72.86425018310547
705,2,2,0,2,1,13,13,,,2.14,72.89635467529297,19.032798767089844
625,2,2,1,1,1,9,15,North - West,Main Road,0.45799999999999996,19.469783782958984,72.79705810546875
451,1,2,1,1,1,2,12,East,Garden/Park,0.267,19.469541549682617,72.80033874511719
464,1,1,1,2,1,2,12,South - East,Garden/Park,0.28,19.469541549682617,72.80033874511719
618,2,2,0,1,1,8,12,East,Main Road,0.337,19.47022247314453,72.80033111572266
2800,6,6,3,3,1,8,14,North - East,"Main Road, Garden/Park, Pool",15.0,19.076268,72.90213
660,2,2,0,1,1,3,11,East,"Garden/Park, Main Road",1.98,19.12986957,72.83319559
844,2,2,2,1,1,5,20,East,"Garden/Park, Main Road",1.69,19.10919095,72.8846914
692,2,2,2,1,1,4,17,East,"Garden/Park, Main Road",1.5,19.1228392525584,72.8845296323174
480,1,1,1,1,1,10,21,,,1.11,19.203436,72.8210452
2120.0,3,3,1,2,0,11,40,,"Garden/Park, Main Road",7.0,19.0096214,72.821264
305,1,1,1,1,0,7,24,West,Main Road,0.54,19.202483,72.822777
610,2,2,1,2,0,13,14,North,"Garden/Park, Pool, Main Road",2.15,19.0227398,72.8686538
956,2,2,1,2,0,20,40,East,"Garden/Park, Pool, Main Road",2.2,19.03731,72.87871
1400.0,3,5,1,2,0,14,17,,"Garden/Park, Main Road",7.0,18.999122,72.8170966
1749.6,3,3,1,2,0,27,28,,"Garden/Park, Main Road",6.0,19.0119722,72.832046
1080.0,2,2,1,2,0,14,75,,"Garden/Park, Main Road",4.25,19.00639,72.828689
485,1,1,0,1,1,5,16,East,Main Road,1.0,19.0899142203998,72.916868452269
284,1,2,0,1,1,5,6,North,Main Road,0.76,19.19576072692871,72.83778381347656
943,3,3,0,1,1,1,10,North - East,"Garden/Park, Main Road",2.59,19.250059127807617,72.84921264648438
225,,1,1,1,0,6,7,West,Main Road,0.425,19.209943771362305,72.83087158203125
840,3,2,1,3,0,1,7,East,Garden/Park,1.62,19.2086034,72.8585158
716,2,2,1,1,1,9,22,North,"Garden/Park, Pool, Main Road",1.85,19.114625,72.884696
1530,4,4,2,1,1,11,18,North,"Garden/Park, Main Road",4.95,19.042963,72.905049
700,2,2,1,2,0,5,10,East,"Garden/Park, Pool",1.8,19.212785,72.872686
750,2,2,3,2,1,1,15,East,"Garden/Park, Main Road",0.79,19.283522,72.878571
965,3,3,2,1,1,5,22,East,"Garden/Park, Main Road",2.8,19.129887,72.836147
712,2,2,2,1,1,5,22,East,"Garden/Park, Main Road",2.1,19.129887,72.836147
682,2,2,1,1,1,11,21,East,"Garden/Park, Pool, Main Road",2.1,19.225278,72.843817
989,3,3,2,1,1,5,33,East,"Garden/Park, Main Road",2.3,19.149089,72.836862
1418,4,4,2,1,0,14,29,East,"Garden/Park, Pool",5.75,19.1417141806255,72.828495599599
1113,3,3,2,1,1,5,23,East,"Garden/Park, Main Road",3.1,19.114625,72.884696
606,2,2,1,1,1,11,23,East,"Garden/Park, Pool, Main Road",1.45,19.207601,72.879171
410,1,1,1,1,1,0,5,,,0.195,19.459598541259766,72.82260131835938
685,2,2,1,1,0,7,17,North,Pool,1.85,19.2187683,72.8615252
1185,3,2,1,1,0,4,15,East,"Garden/Park, Main Road",3.75,19.1144281,72.8485233
820,2,2,2,1,1,4,9,East,"Garden/Park, Main Road",1.7,19.12258624,72.86705
450,1,1,0,1,0,8,8,East,Main Road,1.05,19.103561401367188,72.88658905029297
894,2,2,2,1,1,5,30,East,"Garden/Park, Main Road",3.3,19.129387,72.827935
1606,4,4,2,1,1,5,27,East,"Garden/Park, Main Road",5.8,19.1417141806255,72.828495599599
425,1,1,0,1,1,1,4,,Garden/Park,0.21,19.44341278076172,72.82843780517578
1200,3,3,2,2,0,26,36,West,"Garden/Park, Main Road",3.7,19.0227398,72.8686538
658,2,2,1,1,0,17,20,North - East,Main Road,2.0,19.115297,72.839762
595,2,1,1,1,1,5,34,,,1.51,19.112727,72.932917
560,2,2,0,2,0,7,8,South,Main Road,1.6,19.250059127807617,72.84921264648438
560,2,2,0,1,0,8,10,South - East,Main Road,1.6,19.250059127807617,72.84921264648438
1100,3,2,1,2,1,20,43,East,"Garden/Park, Pool, Main Road",3.25,19.03731,72.87871
620,2,2,1,2,0,13,14,South -West,"Garden/Park, Pool, Main Road",2.18,19.0227398,72.8686538
1034,3,3,2,1,0,10,60,East,Main Road,2.47,19.2248756,72.863143
